Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,Undergrad Population,Average Cost,ACT Median,SAT Average,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Average Cost,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry
Arkansas Tech University,3,4,Public,Southeast,Remote Town,0.8503,8734,16126,22,1008,0.7901,0.0781,0.0503,0.0129,0.0124,0.0005,0.0226,0.0332,0.1922,16126,4550,6096,1,0.4559,0.4025,0.6937,0.2436,17.4,10043,17528,7500,0.839999974,0.75999999,23.04999924,42912.59,31932,11.60999966,368,2284,33700,30600
Humboldt State University,3,4,Public,Far West,Remote Town,0.8018,7748,23113,21,1008,0.5021,0.036,0.2657,0.0329,0.0107,0.0026,0.06,0.0084,0.0654,23113,8294,8148,0.5414,0.5162,0.4004,0.7756,0.1788,11.8,15000,20250,10730,0.889999986,0.730000019,22.87999916,47467.44,26935.5,10.92000008,373,2035,34200,30400
Western Kentucky University,3,4,Public,Southeast,Small City,0.9232,15780,16538,22,1009,0.7701,0.1123,0.0234,0.0093,0.0027,0.001,0.0192,0.0506,0.1613,16538,7807,6983,0.6465,0.3934,0.4368,0.7178,0.1818,13.7,15000,24431,11000,0.879999995,0.660000026,22.21999931,53605.57,42198.5,10.86999989,537,4340,33200,30800
University of North Georgia,3,4,Public,Southeast,Fringe Town,0.6102,14502,16525,21,1009,0.7901,0.0449,0.0859,0.0283,0.0023,0.0012,0.0239,0.0119,0.3144,16525,4614,5492,0.8824,0.3793,0.2597,0.7964,0.1623,9.2,7500,16473,5500,0,0,0,0,0,0,0,0,0,0
Bowling Green State University-Main Campus,3,4,Public,Great Lakes,Fringe Town,0.7247,14161,22416,22,1009,0.7783,0.1004,0.0409,0.0085,0.0025,0.0011,0.0237,0.0159,0.0588,22416,8529,7669,0.7477,0.343,0.541,0.7012,0.066,11.7,17500,26000,9500,0.959999979,0.5,20.81999969,75338.2,70038,5.980000019,383,5119,38000,35500
Eastern Kentucky University,3,4,Public,Southeast,Distant Town,0.6002,13247,17801,22,1009,0.849,0.0551,0.0181,0.0103,0.0034,0.001,0.0215,0.0201,0.173,17801,8413,6910,0.7905,0.4278,0.3888,0.7149,0.254,12.8,14921.5,23179.5,9766.5,0.889999986,0.629999995,22.37000084,53226.68,40016,13.73999977,505,3561,34900,31900
Austin Peay State University,3,4,Public,Southeast,Mid-size City,0.8595,9271,18852,22,1009,0.6597,0.1913,0.0554,0.0146,0.004,0.0023,0.0455,0.0038,0.2606,18852,6847,6879,1,0.5384,0.3603,0.6618,0.3501,13.7,15000,25000,12101,0.879999995,0.699999988,24.46999931,41615.23,30942,8.930000305,375,2092,34000,31700
Northern Illinois University,3,4,Public,Great Lakes,Small Suburb,0.5613,15782,27621,22,1010,0.5909,0.1672,0.13,0.0485,0.0018,0.0011,0.0293,0.0137,0.1248,27621,12208,7834,0.7883,0.4297,0.5095,0.6646,0.1622,9.4,16500,23500,9500,0.949999988,0.49000001,20.76000023,72317.38,64181,5.800000191,452,5694,42500,39500
Ferris State University,3,4,Public,Great Lakes,Remote Town,0.759,12646,21498,22,1010,0.7919,0.0744,0.0342,0.0141,0.0062,0.0005,0.0272,0.0214,0.2749,21498,8696,7942,0.6112,0.4123,0.4319,0.7665,0.2387,9.5,17562,25522,11250,0.970000029,0.519999981,21.87000084,67189.85,59172,6.820000172,335,3980,42400,38400
Saint Cloud State University,3,4,Public,Great Plains,Small City,0.8691,11535,17892,22,1010,0.7667,0.0627,0.0295,0.0424,0.0035,0.0008,0.0298,0.0549,0.1726,17892,6521,8224,0.6295,0.3073,0.478,0.7074,0.1448,7.2,15348,23250,10627.5,0.939999998,0.479999989,21.38999939,72449.18,66431,4.599999905,265,4268,41500,38700
Eastern Illinois University,3,4,Public,Great Lakes,Remote Town,0.6191,8255,23346,22,1010,0.707,0.181,0.0491,0.0082,0.0019,0.0006,0.0187,0.0084,0.1137,23346,12690,7773,0.817,0.3923,0.6033,0.7707,0.1389,6.2,18750,23767,11467,0.939999998,0.479999989,21.32999992,75174.62,69586,6.03000021,202,3323,38000,36000
Middle Tennessee State University,3,4,Public,Southeast,Mid-size City,0.6996,20914,17501,22,1011,0.6662,0.2066,0.0417,0.026,0.0033,0.001,0.0281,0.0144,0.1702,17501,7418,7029,0.7393,0.4485,0.4565,0.6838,0.2315,11.6,15000,22170.5,10250,0.879999995,0.589999974,22.07999992,57627.86,42980,7.849999905,597,5204,37100,33100
Eastern Michigan University,3,4,Public,Great Lakes,Large Suburb,0.6398,18543,18905,22,1011,0.6461,0.2088,0.0363,0.0225,0.003,0.0006,0.0303,0.0209,0.2789,18905,8307,8853,1,0.447,0.3844,0.7381,0.2681,12.9,19114.5,26000,14000,0.959999979,0.550000012,22.51000023,64529.91,52069,6.900000095,562,4223,36800,33800
California State University-Long Beach,3,4,Public,Far West,Large City,0.3082,30440,18085,21,1012,0.214,0.0399,0.3672,0.2292,0.0056,0.0042,0.0431,0.0531,0.1565,18085,7422,8671,0.5029,0.4733,0.6033,0.8876,0.1708,5.5,14494,15775,11000,0.720000029,0.709999979,22.19000053,45976.99,30725,11.93999958,680,5955,45300,42400
Indiana University-Purdue University-Indianapolis,3,4,Public,Great Lakes,Large City,0.6958,21569,20846,22,1013,0.7233,0.105,0.0532,0.0355,0.0015,0.0007,0.0329,0.0344,0.2296,20846,15311,7713,0.5751,0.3659,0.4161,0.7195,0.2933,8.6,16500,25388,12287,0.930000007,0.540000021,23.69000053,56695.09,43017,6.199999809,762,6317,43200,37400
California State University-Chico,3,4,Public,Far West,Small City,0.7161,15106,22926,22,1014,0.5255,0.019,0.23,0.0579,0.0061,0.0014,0.0487,0.033,0.0655,22926,6800,8370,0.5281,0.3893,0.5605,0.8665,0.1358,7.6,14889.5,16500,11596,0.870000005,0.670000017,22.29000092,58551.47,37864,9.630000114,414,3594,45900,41100
University of Massachusetts-Boston,3,4,Public,New England,Large City,0.7141,11786,19763,0,1015,0.4157,0.1554,0.1198,0.1201,0.0014,0.0003,0.0249,0.0968,0.2668,19763,12405,10100,0.5202,0.3831,0.4358,0.7747,0.3335,8.6,16362,0,16357,0.889999986,0.600000024,24.06999969,47234.62,33287,9.010000229,323,2298,46000,42400
Old Dominion University,3,4,Public,Southeast,Mid-size City,0.7679,19483,20531,21,1016,0.5207,0.2588,0.0662,0.0443,0.0043,0.0048,0.0551,0.0123,0.2275,20531,8097,8729,0.9663,0.3395,0.5117,0.7956,0.2658,6.8,18000,23867,14250,0.939999998,0.540000021,23.12000084,60966.47,48850,7.599999905,390,3899,42800,39200
University of Akron Main Campus,3,4,Public,Great Lakes,Mid-size City,0.9649,19022,21338,22,1016,0.743,0.1394,0.0214,0.0213,0.0022,0.0012,0.0285,0.0141,0.1875,21338,8567,9209,0.4845,0.4149,0.4166,0.6636,0.2088,13.5,15000,26812,10261.5,0.930000007,0.620000005,22.92000008,53437.74,42489,8.119999886,748,5110,35200,31800
California State University-Fullerton,3,4,Public,Far West,Large Suburb,0.4579,33000,16663,22,1021,0.2556,0.0222,0.375,0.2165,0.002,0.0027,0.0408,0.0445,0.1933,16663,7685,8521,0.4622,0.4061,0.5347,0.8853,0.1981,5.6,12900.5,14718,10224,0.709999979,0.689999998,22.60000038,46741.81,31500,9.409999847,795,6364,43800,40500
